Country Name,Country Code,2006,2007,2008,2009,2010
"Congo, Dem. Rep.",COD,8543324588.72126,9962600949.53152,11668327311.102,11204196994.4728,13144743452.5456
"Congo, Rep.",COG,7731261168.83096,8394688589.03459,11859015180.8733,9593536719.0203,12007880067.3847
Costa Rica,CRI,22526464348.3201,26321999643.1558,29831164903.1148,29255751296.4487,35831464225.5707
Cote d'Ivoire,CIV,17367306796.6016,19795696265.3153,23414005259.4684,23041807677.483,22780280529.8853
Croatia,HRV,49855078905.4096,59335976948.271,69911233237.787,63435948447.1697,60851860676.6097
Cuba,CUB,52742100000,58603500000,60806200000,,
Curacao,CUW,,,,,
Cyprus,CYP,18435765910.0111,21841815680.8803,25321517504.0281,23542650736.3156,23132450331.1258
Czech Republic,CZE,142610569174.655,174214943906.966,216084465791.94,190204322509.574,192032097601.843
Denmark,DNK,274376889678.112,311417601998.641,343881383958.432,311113494637.997,311988727035.112
Djibouti,DJI,768873684.032838,847918929.107984,982534421.931004,1049054416.75435,
Dominica,DMA,394316511.481481,424135813.333333,463999003.703704,465997334.814815,466389674.074074
Dominican Republic,DOM,35952845582.5029,41314666868.5645,45805370531.8222,46788255295.4292,51766377245.509
Ecuador,ECU,41705009000,45503563000,54208524000,52021861000,57978116000
"Egypt, Arab Rep.",EGY,107484034648.245,130477817194.412,162818181818.182,188984088127.295,218894280919.77
El Salvador,SLV,18550700000,20104900000,21431000000,20661000000,21214700000
Equatorial Guinea,GNQ,9603183306.23726,12574941294.1105,18423594508.8307,12222195530.1086,14006302933.2081
Eritrea,ERI,1211186991.86992,1317983739.8374,1380162601.62602,1856715447.15447,2117008130.0813
Estonia,EST,16807315899.246,21659086933.7065,23566018328.0344,19265790175.0022,19216566443.6351
Ethiopia,ETH,15164485977.3608,19552720846.3449,26642461516.1887,31962250072.0036,29717009195.6346
Faeroe Islands,FRO,1970135198.76236,2278229880.41222,2412859692.82674,2198138372.28824,
Fiji,FJI,3103099942.22992,3379863773.65469,3589854454.20326,2878524079.46479,3189296039.24229
Finland,FIN,207949409201.133,246127357186.459,271974219064.709,239660592657.01,238041059602.649
France,FRA,2255705477450.04,2582389733356.33,2831794060131.1,2624504232172.85,2560002000000
French Polynesia,PYF,,,,,
Gabon,GAB,9545984815.16189,11570855623.2748,14534823245.2062,10943972322.7847,13137183781.2411
"Gambia, The",GMB,508301859.90166,650934673.366834,821917808.219178,733483568.075117,806523947.750363
Georgia,GEO,7745401717.71248,10172869673.5843,12795044475.201,10766836276.5639,11667377223.7153
Germany,DEU,2902748698160.05,3323807412152.12,3623686234298.9,3298635952561.88,3280529801324.5
Ghana,GHA,20388317031.7218,24632480407.0768,28526922399.3369,25978537278.7198,32309445183.4002
Gibraltar,GIB,,,,,
Greece,GRC,262052578738.266,304899439480.29,341187719027.356,321795189413.525,301083245491.391
Greenland,GRL,1738432116.43728,2121759848.4242,1739579593.56673,1267711816.12426,
Grenada,GRD,701032061.693401,759162308.444562,830006320.156374,761095934.706709,773270880.047247
Guam,GUM,,,,,
Guatemala,GTM,30231130542.9832,34113106486.1272,39136286496.2176,37683028734.7027,41186395243.349
Guinea,GIN,2821345794.39252,4209331037.15921,3778260000,4164652641.87867,4510589866.06099
Guinea-Bissau,GNB,578517470.21362,690721455.889932,846854479.422026,834691371.569233,878517652.020351
Guyana,GUY,1458449057.88559,1740340010.54296,1922597806.51498,2025560186.32018,2225615170.87284
Haiti,HTI,4879740567.54908,5971284337.50737,6407707284.45521,6478628512.61795,6709734806.79642
Honduras,HND,10917599271.8174,12361257345.1596,13881729288.3809,14175394172.6908,15400319554.1743
"Hong Kong SAR, China",HKG,189931598257.773,207087259792.559,215365875584.322,209283263242.086,224457859239.046
Hungary,HUN,112533152716.384,136102020866.708,154233541852.268,126631684032.783,128631634125.228
Iceland,ISL,16651492783.5423,20428232684.2713,16850723969.6116,12113363728.5786,12574305880.4794
India,IND,951339358745.926,1242426253335.13,1215992812023.52,1377264718250.63,1727111096363.26
Indonesia,IDN,364570525997.054,432216737774.861,510244548959.967,539355489059.61,706558240891.857
"Iran, Islamic Rep.",IRN,222880533511.287,286057933325.518,338187289004.755,331014973186.136,
Iraq,IRQ,45080072236.609,56989916307.9866,86530068728.5223,65192699145.2992,82150312820.5128
Ireland,IRL,223670720424.618,259954853775.741,263654152741.788,223099498857.39,206611896652.98
Isle of Man,IMN,3437450711.55028,4075664785.25458,,,
Israel,ISR,145843619552.045,166989605900.538,202101449275.362,195391755461.18,217332709280.556
Italy,ITA,1872982702430.31,2127180496503.06,2307311495086.24,2121004770738.9,2060965089474.17
Jamaica,JAM,11989334128.5668,12893737820.579,14245057440.5746,12574890116.0825,14252029781.7476
Japan,JPN,4362589532154.19,4377943849041.22,4879861453767.94,5032982758381.15,5458836663870.85
Jordan,JOR,15645466528.1045,17765381659.8841,22696902203.5919,25092339119.3142,27573536000
Kazakhstan,KAZ,81003864915.5436,104853480212.158,133441571813.647,115306081355.932,149058911550.682
Kenya,KEN,22502291403.3945,27236739895.9373,30519165008.6856,30580367979.309,32198151217.2214
Kiribati,KIR,109671822.176227,127854317.320575,132506609.311134,128004027.814427,151175993.979672
"Korea, Dem. Rep.",PRK,,,,,
"Korea, Rep.",KOR,951773478984.908,1049235951186.97,931402204981.625,834060441840.978,1014483158313.58
Kosovo,KSV,3915494726.26821,4677361256.46457,5641557748.48184,5434843011.94776,5552317880.7947
Kuwait,KWT,101561153806.389,114721830985.916,148782683750.763,109462798286.125,
Kyrgyz Republic,KGZ,2834168889.42019,3802566170.81544,5139957784.91084,4690029460.84784,4616164824.64538
Lao PDR,LAO,3489713921.099,4259649073.79906,5477767809.26308,5907115553.38964,7296361373.94051
Latvia,LVA,19935046397.2163,28765687041.6504,33669367720.4659,25875781250,24009680459.9868
Lebanon,LBN,22438474295.1907,25056716417.9104,30079601990.0498,34924709784.4119,39006223284.1659
Lesotho,LSO,1428931225.348,1597463724.02948,1626044500.33042,1711350115.4783,2179350966.53413
Liberia,LBR,611859674.737483,734933279.196919,842507277.559803,879464612.590976,986201593.736894
Libya,LBY,56484375000,71803278688.5246,93167701863.354,62360446570.9729,
Liechtenstein,LIE,3988775843.87205,4602346923.40322,4929414914.73469,4826167676.3641,
Lithuania,LTU,30088510798.0993,39103973050.6292,47252926428.6698,36846183172.3027,36306384146.1075
Luxembourg,LUX,42552321358.4548,51312004029.3552,57767605375.9109,51945493670.1475,53333642384.106
"Macao SAR, China",MAC,14523359283.6377,18021802972.2562,20699244365.0944,21303686742.9137,27960168078.4283
"Macedonia, FYR",MKD,6560546900.04109,8159825620.389,9834038366.88837,9313573964.98007,9189454662.79445
Madagascar,MDG,5515222624.3942,7342683288.40013,9394736595.64505,8487968571.88134,8720543553.67354
Malawi,MWI,3116942711.15704,3458333499.30201,4073514638.97645,4727588360.52362,5054150505.86858
Malaysia,MYS,156601423249.38,186777261970.736,222744224712.379,192911631102.083,237796914597.179
Maldives,MDV,1282304687.5,1510601562.5,1789750000,1741804687.5,1908460937.5
Mali,MLI,5866095675.49046,7146284975.06625,8738080882.51714,8964687644.27577,9251388616.875
Malta,MLT,6386093714.39672,7534357904.86886,8670307984.96977,8153162657.14796,8255629139.07285
Marshall Islands,MHL,143352031.172084,149739017.444696,152565763.149451,151560778.381533,162935849.808117
Mauritania,MRT,3040718540.58079,3356758533.56708,3585284289.74117,3027020111.5163,3613898829.36639
Mauritius,MUS,6507098598.55741,7792060059.61147,9641063862.25095,8825248711.73869,9723857670.6534
Mayotte,MYT,,,,,
Mexico,MEX,952276430546.773,1035929522496.48,1094480339421.64,882354745911.025,1035870880242.38
"Micronesia, Fed. Sts.",FSM,254517052.762104,257451533.81988,263442301.084389,279788041.137564,297451432.835357
Moldova,MDA,3408454197.89192,4402495921.29332,6054806100.8468,5439439763.80788,5808796184.00841
Monaco,MCO,4663488363.0977,5974371695.95045,6581080163.11355,6108770905.81155,
Mongolia,MNG,3395917892.19257,4234894168.15659,5623236707.52472,4583834427.36474,6200357070.11479
Montenegro,MNE,2695897628.90478,3668857103.75034,4519731946.68229,4141382328.42456,4111066225.16556
Morocco,MAR,65637107776.2619,75226318359.375,88882967741.9355,90908402631.2523,90804562195.5566
Mozambique,MOZ,7096128500.86122,8030015309.92638,9891264915.12346,9787997621.72712,9586185528.38289
Myanmar,MMR,,,,,
Namibia,NAM,7980502215.65731,8805815602.83688,8967523024.72128,9182440405.9476,12170331921.8686
Nepal,NPL,9074827536.25215,10277619341.8618,12572606352.8817,12897180524.7357,15721827206.8688
Netherlands,NLD,677691901432.745,782566743038.276,870811147324.862,793429956254.35,779356291390.728
New Caledonia,NCL,,,,,
New Zealand,NZL,110562659390.364,138317139637.247,117816546666.667,126679321011.804,
Nicaragua,NIC,5230337507.40833,5662053825.51427,6372245365.71013,6213677482.79253,6551182459.18646
Niger,NER,3645126125.95383,4290510300.10412,5369911346.32992,5259368130.35541,5548814097.96942
Nigeria,NGA,145428171552.405,165920723490.955,207117882914.946,168567538022.417,202522959166.135
Northern Mariana Islands,MNP,,,,,
Norway,NOR,340041912703.697,393479162081.796,453885460992.908,374757527038.18,417464662895.809
Oman,OMN,36803641389.0006,41901170688.8693,60566970579.2556,46866060195.7311,
Pakistan,PAK,127500000000,143171182643.097,163891692022.271,161819031346.249,176869569654.043
Palau,PLW,156614000,164289000,166394363.535,164691982.801673,171345538.906861
Panama,PAN,17137000000,19794000000,23184000000,24711000000,26688773969.7844
Papua New Guinea,PNG,5598700444.44444,6329292929.29293,8010370370.37037,7914594202.89855,9480047958.80839
Paraguay,PRY,9275210016.39174,12222355341.2556,16873155276.0934,14239601229.6572,18331237085.6882
Peru,PER,92303809835.527,107233299364.523,126822739599.823,126923120548.981,157053003533.569
Philippines,PHL,122210719245.942,149359920006.4,173602533345.578,168333540385.114,199589447423.747
Poland,POL,341669943593.876,425321502150.576,529400630914.827,430552225890.196,469440132669.983
Portugal,PRT,201790398436.412,231741573802.622,251925293880.69,234083821055.425,228571125827.815
Puerto Rico,PRI,86157500000,88404546617.1909,92605700000,95211400000,96260500000
Qatar,QAT,60496701553.1988,80750821848.5994,110712359446.651,98313183979.8177,
Romania,ROU,122641508767.76,169282491900.094,200071062765.493,161110320401.404,161623662680.931
Russian Federation,RUS,989930542278.685,1299705764824.48,1660846387626,1221991353711.76,1479819314058.23
Rwanda,RWA,3111203756.26284,3741050577.82256,4712306077.47675,5261963315.4829,5627667377.43016
Samoa,WSM,453082900.112908,530170249.521747,568303118,525385200,573509396
San Marino,SMR,1469075398.31891,1687653983.02765,1899809579.61037,,
Sao Tome and Principe,STP,124185330.708945,143497348.607048,170904224.752756,189961808.272699,196806609.568997
Saudi Arabia,SAU,356630440587.45,384891141942.369,476304800000,372663466666.667,434666133333.333
Senegal,SEN,9369573437.16936,11319748339.8891,13386346544.013,12769040890.4502,12855297513.2095
Serbia,SRB,29221081586.6368,38952093544.4413,47760580365.5549,40147697712.0653,38423239717.48
Seychelles,SYC,967806221.35261,1018952362.68143,920991413.94916,788102778.124747,936609214.451442
Sierra Leone,SLE,1422009797.58252,1663712059.1446,1954828246.01522,1856392961.87683,1905015045.13541
Singapore,SGP,138729866931.002,168196798690.946,177792063167.324,188479481666.912,208765019307.673
Sint Maarten (Dutch part),SXM,,,,,
Slovak Republic,SVK,69002095094.7184,84108560087.5992,98040577120.2578,87379131564.3234,87268098543.0464
Slovenia,SVN,38945146499.5315,47306799054.202,54606018255.4563,49056152691.0253,46908328071.5232
Solomon Islands,SLB,456735444.86792,586218381.044736,645796657.499395,601299089.753921,678625481.686752
Somalia,SOM,,,,,
South Africa,ZAF,261007039378.852,286169133891.573,275278721835.79,282754441019.849,363910425627.972
South Sudan,SSD,,,13630305458.5244,10799933043.6539,13227479221.6059
Spain,ESP,1234767751251.03,1441941152800.7,1593912183689.16,1464088697118.68,1407405298013.24
Sri Lanka,LKA,28267410542.5164,32351184234.3157,40715249699.9908,42067965895.2497,49551751282.5049
St. Kitts and Nevis,KNA,589468531.922944,647488503.8242,702098981.037037,672937037.037037,651701399.62963
St. Lucia,LCA,984735409.942279,1062663941.30675,1128186841.88889,1105422525.07407,1197809020
St. Martin (French part),MAF,,,,,
St. Vincent and the Grenadines,VCT,611040126.245679,684691914.814815,702478015.185185,699127947.777778,704776456.296296
Sudan,SDN,36393186003.6832,46533234126.9841,58032057416.268,54633362293.6577,62045783132.5301
Suriname,SUR,2132482915.71754,2419672131.14754,3065573770.4918,3251366120.21858,
Swaziland,SWZ,2947922182.75015,3053823329.23844,3019770679.64511,2949723996.13314,3697606785.26636
Sweden,SWE,399075661572.866,462512853670.12,486158607819.636,404222074728.698,458551636256.701
Switzerland,CHE,391233703828.24,434116631636.912,503215464683.452,492261743767.346,527919933356.441
Syrian Arab Republic,SYR,33332844574.7801,40405006007.2086,52581913978.4946,53934534350.5069,59147033451.8526
Tajikistan,TJK,2830236053.84429,3719497371.09659,5161336170.46084,4978154343.78546,5640410958.90411
Tanzania,TZA,14331231238.9296,16825547462.7712,20715086118.9065,21368165026.2127,22915004424.7421
Thailand,THA,207088920189.904,246977009038.813,272577816170.884,263505029603.952,318522264428.7
Timor-Leste,TLS,326812745.541575,397567776.194698,497918858.206328,598000000,701000000
Togo,TGO,2202809610.79457,2523461504.25176,3163383040.41634,3156613950.26684,3153400897.31795
Tonga,TON,294944991.472798,305069407.505754,348011965.56994,311654491.84782,348330401.5244
Trinidad and Tobago,TTO,18370220923.8428,21738492063.4921,27132936507.9365,19708709805.4784,20603922191.3458
Tunisia,TUN,34377235161.5327,38933879781.4208,44879798717.6366,43522032141.0057,44290845562.5437
Turkey,TUR,530900094504.725,647155131629.442,730337495197.849,614553921823.292,734364471759.678
Turkmenistan,TKM,10277598152.4249,12664165103.1895,19271523178.8079,18650526315.7895,20000701754.386
Turks and Caicos Islands,TCA,,,,,
Tuvalu,TUV,23461373.3743985,28157346.4315898,29628076.2972034,26118644.9091367,31350804.1281109
Uganda,UGA,9977209198.94292,11916019462.5071,14440830267.2498,15803499656.8617,17010765766.699
Ukraine,UKR,107753069306.931,142719009900.99,179992405832.321,117227769791.56,137929309475.806
United Arab Emirates,ARE,222105928740.596,258150041410.76,314844665222.197,270334929437.512,297648476848.078
United Kingdom,GBR,2444579171166.93,2812874670849.91,2635955188375.74,2171386109462.41,2261713093830.23
United States,USA,13336200000000,13995000000000,14296900000000,14048056670216,14586736313339
Uruguay,URY,19579479147.1958,23410536954.8775,30366148247.8893,30433678750.5754,39051434883.8195
Uzbekistan,UZB,17030896203.1963,22311393927.8817,27917519210.6579,32816828372.9753,38981605338.3389
Vanuatu,VUT,435400632.956916,527743610.769441,593437284.121188,590448828.548902,698753388.292431
"Venezuela, RB",VEN,183477522123.894,226537506287.844,311130615277.131,326132984629.716,391847491771.674
Vietnam,VNM,60913515794.7387,71015592862.5205,91094051434.6179,97180304813.435,106426845156.813
Virgin Islands (U.S.),VIR,,,,,
West Bank and Gaza,PSE,,,,,
"Yemen, Rep.",YEM,19081645405.7346,21656550140.1597,26917363956.0592,25130088570.9024,31270054959.6399
Zambia,ZMB,10702206685.7248,11541428666.2301,14640794797.859,12805027606.3074,16192857209.2883
Zimbabwe,ZWE,5443896499.71994,5291950101.35736,4415702801.27889,5836213746,7475995911.41038
